Invoice Date,Event,Event Date,Event Time,Section,Row,Ticket Qty,Sold Price
1/12/2024 9:51:14 AM -05:00,Boston Celtics vs. Memphis Grizzlies,2/4/24 0:00,18:00:00,141,H,2,441.12
1/21/2024 3:21:13 PM -05:00,Boston Celtics vs. Los Angeles Lakers,2/1/24 0:00,19:30:00,141,H,2,706.32
1/19/2024 8:40:24 PM -05:00,Boston Celtics vs. Dallas Mavericks,3/1/24 0:00,19:30:00,141,H,2,581.36
9/14/2023 9:46:13 PM -04:00,NBA Preseason: Boston Celtics vs. Philadelphia 76ers,10/8/23 0:00,18:00:00,324,12,2,38.12
9/13/2023 10:32:12 AM -04:00,NBA Preseason: Boston Celtics vs. Philadelphia 76ers,10/8/23 0:00,18:00:00,141,H,2,154.21
10/15/2023 1:43:15 PM -04:00,NBA Preseason: Boston Celtics vs. New York Knicks,10/17/23 0:00,19:30:00,324,12,4,34.33
10/16/2023 11:10:40 AM -04:00,NBA Preseason: Boston Celtics vs. New York Knicks,10/17/23 0:00,19:30:00,141,H,2,116.32
11/23/2023 8:54:00 PM -05:00,Golden State Warriors vs. Los Angeles Lakers,1/27/24 0:00,17:30:00,103,15,2,1099
8/3/2023 3:42:13 PM -04:00,New York Red Bulls vs. Inter Miami CF,8/26/23 0:00,19:30:00,201,11,5,507.32
8/4/2023 8:04:50 PM -04:00,New York Red Bulls vs. Inter Miami CF,8/26/23 0:00,19:30:00,201,11,2,519
8/5/2023 5:27:00 PM -04:00,New York Red Bulls vs. Inter Miami CF,8/26/23 0:00,19:30:00,202,16,2,519
8/6/2023 4:30:32 PM -04:00,Miami Dolphins vs. New England Patriots,10/29/23 0:00,13:00:00,356,21,4,147
8/6/2023 8:40:23 PM -04:00,New York Red Bulls vs. Inter Miami CF,8/26/23 0:00,19:30:00,221,20,5,595.335
8/7/2023 10:05:23 PM -04:00,New York Red Bulls vs. Inter Miami CF,8/26/23 0:00,19:30:00,201,11,2,595.335
8/9/2023 12:35:25 AM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,230,16,1,1702.935
8/9/2023 1:00:13 PM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,507,20,2,966.75
8/9/2023 5:15:23 PM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,452,5,2,1010.685
8/9/2023 1:17:13 PM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,505,11,2,976.52
8/9/2023 6:48:59 PM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,550,4,1,882.55
8/9/2023 6:40:13 PM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,549,19,1,829.9
8/9/2023 1:46:59 PM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,505,14,1,991.75
8/9/2023 5:19:59 PM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,550,4,1,938.14
8/9/2023 6:47:13 PM -04:00,"Taylor Swift, Haim & Gayle",8/9/23 0:00,18:30:00,550,4,2,869
8/22/2023 5:54:59 PM -04:00,NFL Preseason: Tampa Bay Buccaneers vs. Baltimore Ravens,8/26/23 0:00,19:00:00,328,X,2,17.86
8/22/2023 4:58:03 PM -04:00,NFL Preseason: Tampa Bay Buccaneers vs. Baltimore Ravens,8/26/23 0:00,19:00:00,329,X,2,17.86
8/21/2023 10:42:00 PM -04:00,NFL Preseason: Tampa Bay Buccaneers vs. Baltimore Ravens,8/26/23 0:00,19:00:00,342,CC,2,18
8/24/2023 1:45:40 PM -04:00,NFL Preseason: Tampa Bay Buccaneers vs. Baltimore Ravens,8/26/23 0:00,19:00:00,342,AA,2,17.6
8/22/2023 9:38:13 AM -04:00,Miami Dolphins vs. Denver Broncos,9/24/23 0:00,13:00:00,356,21,7,106.55
8/22/2023 3:09:59 PM -04:00,NFL Preseason: Tampa Bay Buccaneers vs. Baltimore Ravens,8/26/23 0:00,19:00:00,329,X,2,17.86
8/24/2023 12:55:10 AM -04:00,New York Red Bulls vs. Inter Miami CF,8/26/23 0:00,19:30:00,202,20,2,372
8/24/2023 12:10:59 PM -04:00,NFL Preseason: Tampa Bay Buccaneers vs. Baltimore Ravens,8/26/23 0:00,19:00:00,342,AA,1,17.86
10/8/2023 4:54:29 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,C113,32,2,1033.97
9/9/2023 3:26:59 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,123,30,2,425.89
10/13/2023 4:55:45 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,117,29,2,539
9/5/2023 11:47:13 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,312,15,2,487.77
9/24/2023 10:06:20 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,338,15,2,549
10/1/2023 4:04:07 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,C114,27,2,826.97
9/10/2023 9:59:13 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,105,27,2,405.66
9/13/2023 1:19:50 PM -04:00,Las Vegas Raiders vs. Kansas City Chiefs,11/26/23 0:00,13:25:00,143,33,2,389
8/30/2023 9:01:59 PM -04:00,Las Vegas Raiders vs. Pittsburgh Steelers,9/24/23 0:00,17:20:00,123,29,2,584.73
9/6/2023 1:15:39 AM -04:00,Las Vegas Raiders vs. Pittsburgh Steelers,9/24/23 0:00,17:20:00,C132,29,2,878.77
8/31/2023 5:05:59 PM -04:00,Las Vegas Raiders vs. Pittsburgh Steelers,9/24/23 0:00,17:20:00,141,31,2,594.65
8/29/2023 3:42:00 PM -04:00,Las Vegas Raiders vs. Pittsburgh Steelers,9/24/23 0:00,17:20:00,443,11,2,445.74
8/31/2023 8:33:59 PM -04:00,Las Vegas Raiders vs. Pittsburgh Steelers,9/24/23 0:00,17:20:00,414,14,2,445.74
8/26/2023 6:04:50 PM -04:00,Las Vegas Raiders vs. Green Bay Packers,10/9/23 0:00,17:15:00,123,30,2,499
